City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,Cloudiness,Wind Speed
336,Klaksvík,FO,62.2266,-6.589,279.15,87,75,4.12
337,Ketchikan,US,55.3422,-131.6461,273.15,80,90,1.92
338,Gubkinskiy,RU,64.434,76.5026,255.61,86,100,10.81
339,Malakal,SS,9.5334,31.6605,312.05,21,91,0.14
340,Vyaz'ma,RU,55.2104,34.2951,271.64,76,65,2.86
341,Tiruchchendur,IN,8.4833,78.1167,300.91,74,98,4.5
342,Alice Springs,AU,-23.7,133.8833,294.15,68,40,3.6
343,Platteville,US,42.7342,-90.4785,275.93,69,1,4.63
344,São João da Barra,BR,-21.6403,-41.0511,303.15,58,40,5.14
345,Mayo,US,38.8876,-76.5119,279.26,48,1,2.57
346,Bara,NG,10.3744,10.7288,310.15,34,100,6.69
347,Amalāpuram,IN,16.5833,82.0167,304.15,51,0,2.57
348,Tāybād,IR,34.74,60.7756,287.09,58,23,9.01
349,Merauke,ID,-8.4667,140.3333,300.0,82,100,3.16
350,Viedma,AR,-40.8135,-62.9967,294.82,36,1,7.22
351,Uchiza,PE,-8.4592,-76.4633,297.78,85,96,0.79
352,Juneau,US,58.3019,-134.4197,270.15,80,90,1.54
353,Udachny,RU,66.4167,112.4,243.76,95,100,14.8
354,Paamiut,GL,61.994,-49.6678,273.19,83,81,3.33
355,Bulgan,MN,48.8125,103.5347,264.76,71,46,2.06
356,Mil'kovo,RU,54.7167,158.6167,262.05,84,78,1.3
357,Esna,EG,25.2934,32.554,308.15,20,0,3.09
358,Businga,CD,3.3333,20.8833,303.47,61,49,0.2
359,San Miguel de Cozumel,MX,20.5083,-86.9458,297.15,78,1,4.63
360,Srednekolymsk,RU,67.45,153.6833,247.91,86,0,0.84
361,Boende,CD,-0.2167,20.8667,301.93,77,72,1.22
362,Takoradze,GH,4.8845,-1.7554,302.61,66,5,3.96
363,Gayéri,BF,12.6497,0.4931,309.63,17,99,1.0
364,College,US,64.8569,-147.8028,252.59,69,1,3.09
365,Danilovka,RU,50.3557,44.1168,272.53,81,78,3.67
366,San Patricio,US,28.017,-97.5169,285.93,82,20,5.14
367,Kattivākkam,IN,13.2167,80.3167,301.15,69,20,2.57
368,Mt. Pleasant,US,32.7941,-79.8626,280.93,61,90,4.12
369,Solnechnyy,RU,50.7214,136.6319,267.39,88,100,1.53
370,Iquitos,PE,-3.7481,-73.2472,301.15,74,40,4.12
371,Astoria,US,46.1879,-123.8313,280.15,87,75,3.09
372,Barguzin,RU,53.6167,109.6167,266.66,93,100,2.82
373,Deputatsky,RU,69.3,139.9,248.3,100,98,1.23
374,Tura,IN,25.5198,90.2201,297.47,29,0,0.24
375,Hohhot,CN,40.8106,111.6522,270.15,54,20,7.0
376,Zambezi,ZM,-13.5432,23.1047,300.46,61,100,1.07
377,Grand Gaube,MU,-20.0064,57.6608,300.93,81,1,1.79
378,Kingseat,GB,56.0974,-3.4084,288.71,62,0,7.2
379,Fereydūnkenār,IR,36.6864,52.5225,290.15,67,0,4.12
380,Northam,GB,51.0333,-4.2167,285.37,82,89,1.79
381,Geraldton,AU,-28.7667,114.6,296.15,78,2,4.12
382,Namatanai,PG,-3.6667,152.4333,300.09,78,67,3.15
383,Altamira,BR,-3.2033,-52.2064,301.15,78,40,2.06
384,Derzhavīnsk,KZ,51.1,66.3167,271.91,94,100,11.87
385,Ugep,NG,5.8086,8.0812,302.67,65,98,1.44
386,Broome,US,42.2506,-75.833,273.15,51,1,2.57
387,San Miguel,SV,13.4833,-88.1833,300.15,94,0,1.03
388,Lar,IN,26.2039,83.9717,300.95,20,0,2.88
389,Xaçmaz,AZ,41.4635,48.806,281.06,80,81,2.6
390,Tuktoyaktuk,CA,69.4541,-133.0374,240.15,75,1,3.6
391,Callaway,US,30.153,-85.5699,286.48,82,90,5.14
392,Muros,ES,42.7762,-9.0603,288.15,38,0,7.1
393,Sitka,US,57.0531,-135.33,272.15,86,1,3.6
394,Chilca,PE,-12.5211,-76.7372,296.48,78,0,2.57
395,Darovskoy,RU,58.77,47.9564,267.63,88,100,3.92
396,Salalah,OM,17.0151,54.0924,301.15,69,0,3.09
397,Malaṅgawā,NP,26.8568,85.5581,300.81,18,0,3.7
398,Thompson,CA,55.7435,-97.8558,275.15,80,40,2.57
399,Itoman,JP,26.1247,127.6694,296.15,88,20,4.63
400,Chitipa,MW,-9.7024,33.2697,296.37,87,69,2.04
401,Severo-Kuril'sk,RU,50.6789,156.125,268.34,80,82,9.62
402,Nuuk,GL,64.1835,-51.7216,275.15,60,75,6.69
403,Port Macquarie,AU,-31.4333,152.9167,296.15,88,75,5.14
404,Nouadhibou,MR,20.931,-17.0347,298.15,31,46,8.23
405,Mweka,CD,-4.85,21.5667,304.91,44,86,0.98
406,Norman Wells,CA,65.282,-126.8329,251.15,77,75,7.2
407,Sakakah,SA,29.9697,40.2064,302.15,12,0,3.6
408,Kärdla,EE,58.9978,22.7492,272.59,91,100,7.6
